species,common_name,family,n_population,neoplasia_necropsy,neoplasia_prevalence,benign_count,benign_prevalence,n_cases,trait,body_mass,mass_g,log_body_mass,mature_f,mature_m,mature_age,MLS.anage,LQ,tax_id,trait_ci_lb,trait_ci_ub,trait_ci
Leontopithecus_rosalia,Golden lion tamarin,Cebidae,90,11,0.122222222222222,6,0.0666666666666667,5,0.0555555555555556,0.6545,654.5,2.81590965088677,1.5,2,2,31.6,1.43408825146479,30588,0.0171152583148751,0.109702508271935,[0.02-0.11]
Macaca_fascicularis,Crab-eating macaque,Cercopithecidae,37,2,0.0540540540540541,2,0.0540540540540541,0,0,6.3625,6362.5,3.80362779534481,3.39,4.23,4.23,39,1.15152845211547,9541,0,0.0502538664118669,[0-0.05]
Macaca_fuscata,Japanese macaque,Cercopithecidae,43,4,0.0930232558139535,3,0.0697674418604651,1,0.0232558139534884,8.8825,8882.5,3.94853521616137,4.06,3.75,4.06,38.5,1.06729209546774,9542,4.43570255945288e-05,0.0873833907810398,[0-0.09]
Macaca_silenus,Lion-tailed macaque,Cercopithecidae,68,6,0.0882352941176471,4,0.0588235294117647,2,0.0294117647058824,7.875,7875,3.89625056246164,3.92,3.88,3.92,40,1.13439513248979,54601,0.00232502360660842,0.0799697548438146,[0-0.08]
Mico_argentatus,Silvery marmoset,Cebidae,20,1,0.05,1,0.05,0,0,0.3432,343.2,2.53554727917667,0.83,0.92,0.92,16.5,0.845982204823032,9482,0,0.0904764265378722,[0-0.09]
Microcebus_murinus,Grey mouse lemur,Cheirogaleidae,57,14,0.245614035087719,0,0,14,0.245614035087719,0.0648,64.8,1.81157500587059,0.67,0.67,0.67,18.2,1.27873169898261,30608,0.143143776921009,0.361679877334054,[0.14-0.36]
Nycticebus_coucang,Slow loris,Lorisidae,24,2,0.0833333333333333,0,0,2,0.0833333333333333,0.8905,890.5,2.94963392379926,0.49,1.5,1.5,25.8,1.10467522417975,9470,0.00744065839317517,0.215076015702136,[0.01-0.22]
Nycticebus_pygmaeus,Pygmy slow loris,Lorisidae,49,13,0.26530612244898,2,0.0408163265306122,11,0.224489795918367,0.419,419,2.6222140229663,0.75,1.58,1.58,19.3,0.952915909904387,101278,0.119255643021404,0.34681383843601,[0.12-0.35]
Propithecus_coquereli,Coquerel's sifaka,Indriidae,25,4,0.16,2,0.08,2,0.08,5,5000,3.69897000433602,3.5,3.5,3.5,30.6,0.945609474579486,379532,0.00708887477779123,0.207136510125643,[0.01-0.21]
Saguinus_bicolor,Pied tamarin,Cebidae,25,1,0.04,0,0,1,0.04,0.4958,495.8,2.6953065224318,1.5,2,2,19,0.908733184357901,37588,8.7486963786008e-05,0.146129731147202,[0-0.15]
Saguinus_imperator,Emperor tamarin,Cebidae,36,0,0,0,0,0,0,0.5185,518.5,2.71474876072506,1.5,2,2,23.7,1.12397473605413,9491,0,0.0516036429663788,[0-0.05]
Saguinus_midas,Red-handed tamarin,Cebidae,22,0,0,0,0,0,0,0.5538,553.8,2.74335295140956,1.67,1.5,1.67,21,0.983606310228776,30586,0,0.0826924701398397,[0-0.08]
Sapajus_apella,Tufted capuchin,Cebidae,26,3,0.115384615384615,3,0.115384615384615,0,0,2.85,2850,3.45484486000851,4.67,8,8,46,1.5808398403266,9515,0,0.070550756686437,[0-0.07]
Theropithecus_gelada,Gelada baboon,Cercopithecidae,52,1,0.0192307692307692,0,0,1,0.0192307692307692,16.2,16200,4.20951501454263,3.81,6,6,36,0.890840355072966,9565,3.54977155416648e-05,0.0727517084305247,[0-0.07]
Trachypithecus_auratus,Javan langur,Cercopithecidae,27,1,0.037037037037037,0,0,1,0.037037037037037,9.72,9720,3.98766626492627,3.5,NA,NA,31.1,0.847592654426344,222416,7.90619029304496e-05,0.135978776603369,[0-0.14]
Trachypithecus_cristatus,Silvery langur,Cercopithecidae,28,1,0.0357142857142857,1,0.0357142857142857,0,0,6.185,6185,3.79133970396514,4,3.5,4,28.3,0.840076721920615,122765,0,0.0657249073411732,[0-0.07]
Trachypithecus_francoisi,Francois' langur,Cercopithecidae,30,4,0.133333333333333,1,0.0333333333333333,3,0.1,7.325,7325,3.86480762902615,4,4.5,4,26.3,0.75614106723843,54180,0.0188084102849868,0.222956024272177,[0.02-0.22]
Varecia_rubra,Red ruffed lemur,Lemuridae,59,11,0.186440677966102,3,0.0508474576271187,8,0.135593220338983,3.601,3601,3.55642312137129,1.67,1.78,1.78,37.5,1.23299983114277,554167,0.0598859816677943,0.230361595890338,[0.06-0.23]
Varecia_variegata,Black-and-white ruffed lemur,Lemuridae,76,16,0.210526315789474,3,0.0394736842105263,13,0.171052631578947,3.482,3482,3.54182876678131,1.66,1.78,1.78,40,1.32357962703265,9455,0.0945779023525743,0.260856773652124,[0.09-0.26]
